Year,Rank,Title_CN,Title_JP,Info,Score,RatingCount
2011,Rank21,银魂',銀魂',51话 /  2011年4月4日 / 藤田陽一 / 空知英秋（集英社「週刊少年ジャンプ」連載） / 竹内進二,8.7,13112人评分
2011,Rank34,魔法少女小圆,魔法少女まどか☆マギカ,12话 /  2011年1月6日 / 新房昭之 / Magica Quartet / 岸田隆宏,8.6,36240人评分
2011,Rank49,日常,日常,26话 /  2011年4月2日 / 石原立也 / あらゐけいいち（「月刊少年エース」連載／角川コミックス・エース刊） / 西屋太志,8.5,24092人评分
2011,Rank70,轻音少女 剧场版,映画けいおん！,1话 /  2011年12月3日 / 山田尚子 / かきふらい（芳文社「まんがタイムきらら」連載） / 堀口悠紀子,8.4,15479人评分
2011,Rank86,偶像大师,THE IDOLM@STER,26话 /  2011年7月7日 / 錦織敦史 / バンダイナムコゲームス（バンダイナムコエンターテインメント） / 錦織敦史,8.3,8209人评分
2011,Rank142,猎人,HUNTER×HUNTER,148话 /  2011年10月2日 / 神志那弘志 / 冨樫義博 / 吉松孝博、いんどり牧場（88-148）,8.2,6078人评分
2011,Rank154,夏目友人帐 叁,夏目友人帳 参,13话 /  2011年7月4日 / 大森貴弘 / 緑川ゆき（白泉社「月刊LaLa」連載） / 髙田晃,8.2,8773人评分
2011,Rank173,Fate/Zero,Fate/Zero,25话 /  2011年10月1日 / あおきえい / 虚淵玄／TYPE-MOON / 須藤友徳、碇谷敦,8.1,29185人评分
2011,Rank180,爆漫王。2,バクマン。2,25话 /  2011年10月1日 / カサヰケンイチ、秋田谷典昭 / 大場つぐみ、小畑健 / 下谷智之,8.1,5179人评分
2012,Rank105,银魂' 延长战,銀魂' 延長戦,13话 /  2012年10月4日 / 藤田陽一 / 空知英秋（集英社「週刊少年ジャンプ」連載） / 竹内進二,8.3,4426人评分
2012,Rank109,爆漫王。3,バクマン。3,25话 /  2012年10月6日 / カサヰケンイチ、秋田谷典昭 / 大場つぐみ、小畑健 / 下谷智之,8.3,4950人评分
2012,Rank145,冰菓,氷菓,22话 /  2012年4月22日 / 武本康弘 / 米澤穂信（角川文庫刊「古典部シリーズ」から・少年エース連載） / 西屋太志,8.2,31236人评分
2012,Rank150,日常 ETV版,日常 Eテレ版,12话 /  2012年1月7日,8.2,2429人评分
2012,Rank155,来自新世界,新世界より,25话 /  2012年9月28日 / 石浜真史 / 久保田誓（メイン）、清水祐実（サブ）,8.2,14538人评分
2012,Rank187,剧场版 魔法少女小圆 [后篇] 永远的物语,劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語,1话 /  2012年10月13日 / 宮本幸裕 / Magica Quartet / 岸田隆宏、谷口淳一郎,8.1,6044人评分
2012,Rank192,宇宙兄弟,宇宙兄弟,99话 /  2012年4月1日 / 渡辺歩 / 小山宙哉（講談社「モーニング」連載中）,8.1,1715人评分
2012,Rank241,夏目友人帐 肆,夏目友人帳 肆,13话 /  2012年1月2日 / 大森貴弘 / 緑川ゆき（白泉社「月刊LaLa」連載） / 髙田晃,8.0,6386人评分
2012,Rank258,狼的孩子雨和雪,おおかみこどもの雨と雪,1话 /  2012年7月21日 / 細田守 / 細田守 / 貞本義行,8.0,7748人评分
2012,Rank287,心理测量者,PSYCHO-PASS サイコパス,"22话 /  2012年10月11日 / 塩谷直義 / 浅野恭司；人设协力：上山徹郎(12)、八尋裕子(12)、恩田尚之(13,19,22)、都築裕佳子(14)、井川麗奈(14-18)、谷口宏美(19-22)、頂真司(20)、TAKAOKA(22)",7.9,13992人评分
2013,Rank35,剧场版 魔法少女小圆 [新篇] 叛逆的物语,劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,1话 /  2013年10月26日 / 宮本幸裕 / Magica Quartet / 岸田隆宏、谷口淳一郎,8.6,16596人评分
2013,Rank115,物语系列 第二季,〈物語〉シリーズ セカンドシーズン,26话 /  2013年7月6日 / 板村智幸 / 西尾維新『猫物語（白）』『傾物語』『囮物语』『鬼物語』『恋物語』（講談社BOX） / 渡辺明夫；上條修（恋物语OP）,8.2,12330人评分
2013,Rank128,进击的巨人,進撃の巨人,25话 /  2013年4月6日 / 荒木哲郎 / 諫山創（別冊少年マガジン連載／講談社） / 浅野恭司,8.2,29180人评分
2013,Rank156,歌牌情缘 第二季,ちはやふる2,25话 /  2013年1月11日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載）,8.2,3961人评分
2013,Rank166,辉夜姬物语,かぐや姫の物語,1话 /  2013年11月23日 / 高畑勲 / 「竹取物語」 / 田辺修,8.1,3017人评分
2013,Rank190,斩服少女,キルラキル,24话 /  2013年10月3日 / 今石洋之 / TRIGGER・中島かずき / すしお,8.1,16772人评分
2013,Rank229,悠哉日常大王,のんのんびより,12话 /  2013年10月7日 / 川面真也 / あっと（月刊コミックアライブ連載/KADOKAWA刊） / 大塚舞,8.0,10811人评分
2013,Rank280,银之匙 Silver Spoon,銀の匙 Silver Spoon,11话 /  2013年7月11日 / 伊藤智彦 / 荒川弘「銀の匙 Silver Spoon」（小学館「週刊少年サンデー」連載） / 中井準,7.9,5426人评分
2013,Rank290,向阳素描 沙英・寻 毕业篇,ひだまりスケッチ 沙英・ヒロ 卒業編,2话 /  2013年11月27日 / 八瀬祐樹 / 蒼樹うめ（芳文社「まんがタイムきららCarat」連載） / 伊藤良明,8.0,815人评分
2013,Rank319,银魂剧场版 完结篇 万事屋永不落,劇場版 銀魂 完結篇 万事屋よ永遠なれ,1话 /  2013年7月6日 / 藤田陽一 / 空知英秋（集英社「週刊少年ジャンプ」連載） / 竹内進二,7.9,3535人评分
2014,Rank14,白箱,SHIROBAKO,24话 /  2014年10月9日 / 水島努 / 武蔵野アニメーション / 関口可奈味,8.7,22030人评分
2014,Rank24,乒乓,ピンポン THE ANIMATION,11话 /  2014年4月10日 / 湯浅政明 / 松本大洋（小学館 ビッグスピリッツコミックス刊） / 伊東伸高,8.7,16235人评分
2014,Rank37,虫师 续章 第2部分,蟲師 続章 第2クール,10话 /  2014年10月18日 / 長濵博史 / 漆原友紀（講談社 月刊アフタヌーン 所載） / 馬越嘉彦,8.6,4162人评分
2014,Rank47,虫师 续章,蟲師 続章,11话 /  2014年4月4日 / 長濵博史 / 漆原友紀（講談社 月刊アフタヌーン 所載） / 馬越嘉彦,8.5,4587人评分
2014,Rank121,虫师 特別篇 蚀日之翳,蟲師 特別篇 日蝕む翳,1话 /  2014年1月4日 / 長濵博史 / 漆原友紀（講談社 月刊アフタヌーン 所載） / 馬越嘉彦,8.2,3006人评分
2014,Rank138,太空丹迪 第二季,スペース☆ダンディ シーズン2,13话 /  2014年7月6日,8.2,3590人评分
2014,Rank168,排球少年,ハイキュー!!,25话 /  2014年4月6日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） / 岸田隆宏,8.1,8798人评分
2014,Rank213,JOJO的奇妙冒险 星尘斗士,ジョジョの奇妙な冒険 スターダストクルセイダース,24话 /  2014年4月4日 / 津田尚克 / 荒木飛呂彦（集英社ジャンプ コミックス刊） / 小美野雅彦,8.0,16503人评分
2014,Rank216,日本动画（人）博览会,日本アニメ（ーター）見本市,35话 /  2014年11月7日,8.0,2274人评分
2014,Rank237,银之匙 Silver Spoon 第二季,銀の匙 Silver Spoon 第2期,11话 /  2014年1月9日 / 出合小都美 / 荒川弘「銀の匙 Silver Spoon」（小学館「週刊少年サンデー」連載） / 中井準,8.0,4183人评分
2015,Rank88,少女与战车 剧场版,ガールズ&パンツァー 劇場版,1话 /  2015年11月21日 / 水島努 / 杉本功,8.3,6714人评分
2015,Rank90,吹响吧！上低音号,響け！ユーフォニアム,14话 /  2015年4月7日 / 石原立也 / 武田綾乃（宝島社文庫『響け! ユーフォニアム 北宇治高校吹奏楽部へようこそ』） / 池田晶子,8.3,20983人评分
2015,Rank97,水星领航员 The AVVENIRE,ARIA The AVVENIRE,3话 /  2015年9月26日 / 佐藤順一 / 天野こずえ「ARIA」（ブレイドコミックス／マッグガーデン刊） / 音地正行,8.3,1644人评分
2015,Rank108,排球少年 第二季,ハイキュー!! セカンドシーズン,25话 /  2015年10月3日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） / 岸田隆宏,8.3,6819人评分
2015,Rank111,JOJO的奇妙冒险 星尘斗士 埃及篇,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,24话 /  2015年1月9日 / 津田尚克 / 荒木飛呂彦（集英社ジャンプ コミックス刊） / 小美野雅彦,8.2,16612人评分
2015,Rank124,银魂°,銀魂°,51话 /  2015年4月8日 / 宮脇千鶴 / 空知英秋（集英社「週刊少年ジャンプ」連載） / 竹内進二,8.2,4487人评分
2015,Rank132,虫师 特别篇 铃之雫,蟲師 特別編「鈴の雫」,1话 /  2015年5月16日 / 長濵博史 / 漆原友紀（講談社 月刊アフタヌーン 所載） / 馬越嘉彦,8.2,2364人评分
2015,Rank209,一拳超人,ワンパンマン,12话 /  2015年10月4日 / 夏目真悟 / ONE・村田雄介「ワンパンマン」（集英社「となりのヤングジャンプ」連載） / 久保田誓,8.0,20432人评分
