Year,Rank,Title_CN,Title_JP,Info,Score,RatingCount
2021,Rank82,无职转生～到了异世界就拿出真本事～ 第2部分,無職転生 ～異世界行ったら本気だす～ 第2クール,12话 /  2021年10月3日 / 岡本学 / 理不尽な孫の手（MFブックス／KADOKAWA刊） / 杉山和隆、髙橋瑞紀,8.3,22465人评分
2021,Rank89,摇曳露营△ 第二季,ゆるキャン△ SEASON 2,13话 /  2021年1月7日 / 京極義昭 / あfろ（芳文社「COMIC FUZ」掲載） / 佐々木睦美,8.3,11539人评分
2021,Rank135,悠哉日常大王 Nonstop,のんのんびより のんすとっぷ,12话 /  2021年1月10日 / 川面真也 / あっと（月刊コミックアライブ連載/KADOKAWA刊） / 大塚舞,8.2,5901人评分
2021,Rank254,VOY@GER,N/A,1话 /  2021年8月25日 / 錦織敦史 / バンダイナムコエンターテインメント,8.0,1959人评分
2021,Rank259,NOMAD MEGALO BOX 2,NOMAD メガロボクス2,13话 /  2021年4月4日 / 森山洋 / 倉島亜由美,8.0,5158人评分
2021,Rank260,86 -不存在的战区- 第2部分,86―エイティシックス― 第2クール,12话 /  2021年10月2日 / 石井俊匡 / 安里アサト（「電撃文庫」刊） / 川上哲也,8.0,14184人评分
2022,Rank71,孤独摇滚！,ぼっち・ざ・ろっく！,12话 /  2022年10月8日 / 斎藤圭一郎 / はまじあき（芳文社「まんがタイムきららMAX」連載中） / けろりら,8.4,37274人评分
2022,Rank83,辉夜大小姐想让我告白-超级浪漫-,かぐや様は告らせたい-ウルトラロマンティック-,13话 /  2022年4月8日 / 畠山守(小俣真一) / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子,8.3,21360人评分
2022,Rank94,来自深渊 烈日的黄金乡,メイドインアビス 烈日の黄金郷,12话 /  2022年7月6日 / 小島正幸 / つくしあきひと（竹書房「WEBコミックガンマ」） / 黄瀬和哉 、黒田結花,8.3,12620人评分
2022,Rank103,赛博浪客,Cyberpunk: Edgerunners,"10话 /  2022年9月13日 / 今石洋之 / CD Projekt（Cyberpunk 2077, set in a universe created by Mike Pondsmith） / 吉成曜",8.3,24471人评分
2022,Rank149,灵能百分百 第三季,モブサイコ100 Ⅲ,12话 /  2022年10月5日 / 蓮井隆弘 / ONE（小学館「マンガワン」連載） / 亀田祥倫,8.2,10873人评分
2022,Rank217,擅长捉弄的高木同学 第三季,からかい上手の高木さん③,12话 /  2022年1月7日 / 赤城博昭 / 山本崇一朗「からかい上手の高木さん」「あしたは土曜日」（小学館「ゲッサン」連載中） / 高野綾,8.0,7599人评分
2022,Rank220,向山进发 Next Summit,ヤマノススメ Next Summit,12话 /  2022年10月4日 / 山本裕介 / しろ（コミック アース・スター連載） / 松尾祐輔,8.0,3691人评分
2022,Rank235,辉夜大小姐想让我告白-初吻不会结束- 电影,かぐや様は告らせたい-ファーストキッスは終わらない- 映画,1话 /  2022年12月17日 / 畠山守(小俣真一) / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子,8.0,6699人评分
2022,Rank304,死神 千年血战篇,BLEACH 千年血戦篇,13话 /  2022年10月10日 / 田口智久 / 「BLEACH」久保帯人（集英社 ジャンプコミックス刊） / 工藤昌史、（人物设定协力）長谷川亨雄、小松原聖、高柳久美子、鄭泳勲、河野真貴、伊藤憲子,7.9,4399人评分
2022,Rank373,相合之物,であいもん,12话 /  2022年4月6日 / 追崎史敏 / 浅野りん（「ヤングエース」連載／角川コミックス・エース 刊） / 渋谷秀,7.8,9844人评分
2023,Rank36,葬送的芙莉莲,葬送のフリーレン,28话 /  2023年9月29日 / 斎藤圭一郎 / 山田鐘人・アベツカサ（小学館「週刊少年サンデー」連載中） / 長澤礼子,8.6,32520人评分
2023,Rank189,冰海战记 第二季,ヴィンランド・サガ SEASON 2,24话 /  2023年1月9日 / 籔田修平 / 幸村誠「ヴィンランド・サガ」（講談社『アフタヌーン』連載） / 阿比留隆彦,8.1,7388人评分
2023,Rank242,BanG Dream! It's MyGO!!!!!,N/A,13话 /  2023年6月29日 / 柿本広大 / ブシロード / Craft Egg；动画人物设定：茶之原拓也、八森優香、Shin Joseph,8.0,29085人评分
2023,Rank276,辉夜大小姐想让我告白-初吻不会结束-,かぐや様は告らせたい-ファーストキッスは終わらない-,4话 /  2023年3月31日 / 畠山守(小俣真一) / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子,7.9,8546人评分
2023,Rank326,Fate/Grand Order Memorial Movie 2023,N/A,1话 /  2023年7月30日 / 周浩嵩,7.9,1324人评分
2023,Rank366,我心里危险的东西,僕の心のヤバイやつ,12话 /  2023年4月1日 / 赤城博昭 / 桜井のりお（秋田書店「マンガクロス」連載） / 勝又聖人,7.8,14328人评分
2023,Rank388,古立特宇宙,グリッドマン ユニバース,1话 /  2023年3月24日 / 雨宮哲 / グリッドマン / 坂本勝,7.8,6307人评分
2023,Rank412,机动战士高达 闪光的哈撒韦 TV剪辑版,機動戦士ガンダム 閃光のハサウェイ TVエディション,4话 /  2023年1月15日,8.0,204人评分
2023,Rank495,偶像大师 灰姑娘女孩 U149,アイドルマスター シンデレラガールズ U149,12话 /  2023年4月5日 / 岡本学 / バンダイナムコエンターテインメント / 井川典恵,7.7,7165人评分
2023,Rank496,天国大魔境,天国大魔境,13话 /  2023年4月1日 / 森大貴 / 石黒正数（講談社「アフタヌーン」連載） / うつした（南方研究所）,7.7,14200人评分
2024,Rank40,航海王：粉丝来信,ONE PIECE FAN LETTER,1话 /  2024年10月20日 / 䂖谷恵 / 尾田栄一郎（集英社「週刊少年ジャンプ」連載） / 森佳祐,8.6,3794人评分
2024,Rank96,我心里危险的东西 第二季,僕の心のヤバイやつ 第2期,13话 /  2024年1月6日 / 赤城博昭 / 桜井のりお（秋田書店「マンガクロス」連載） / 勝又聖人,8.3,12504人评分
2024,Rank122,物语系列 外传季&怪物季,〈物語〉シリーズ オフ&モンスターシーズン,15话 /  2024年7月6日 / 吉澤翠 / 西尾維新『愚物語』『撫物語』『業物語』『忍物語』（講談社BOX） / 渡辺明夫,8.2,5507人评分
2024,Rank253,败犬女主太多了！,負けヒロインが多すぎる！,12话 /  2024年7月13日 / 北村翔太郎 / 雨森たきび（小学館「ガガガ文庫」刊） / 川上哲也,8.0,25217人评分
2024,Rank309,失忆投捕,忘却バッテリー,12话 /  2024年4月9日 / 中園真登 / みかわ絵子（集英社「少年ジャンプ＋」連載） / 長谷川ひとみ,7.9,6255人评分
2024,Rank359,迷宫饭,ダンジョン飯,24话 /  2024年1月4日 / 宮島善博 / 九井諒子（「ダンジョン飯」／KADOKAWA刊） / 竹田直樹,7.8,16198人评分
2024,Rank361,蓦然回首,ルックバック,1话 /  2024年6月28日 / 押山清高 / 藤本タツキ「ルックバック」（集英社ジャンプコミックス刊） / 押山清高,7.8,11116人评分
2024,Rank393,夏目友人帐 柒,夏目友人帳 漆,12话 /  2024年10月7日 / 伊藤秀樹 / 緑川ゆき「夏目友人帳」（白泉社「LaLa」連載） / 髙田晃,7.8,1634人评分
2024,Rank423,剧场版 进击的巨人 完结篇 THE LAST ATTACK,劇場版 進撃の巨人 完結編 THE LAST ATTACK,1话 /  2024年11月8日 / 林祐一郎 / 諫山創（别册少年マガジン／讲谈社） / 岸友洋,7.8,1391人评分
2024,Rank604,为美好的世界献上祝福！第三季,この素晴らしい世界に祝福を！3,11话 /  2024年4月10日 / 安部祐二郎 / 暁なつめ（株式会社KADOKAWA 角川スニーカー文庫刊） / 菊田幸一,7.7,12118人评分
2025,Rank69,剧场版 链锯人 蕾塞篇,劇場版 チェンソーマン レゼ篇,1话 /  2025年9月19日 / 吉原達矢 / 藤本タツキ（集英社「少年ジャンプ＋」連載） / 杉山和隆,8.4,9273人评分
2025,Rank93,辉夜大小姐想让我告白 通往大人的阶梯,かぐや様は告らせたい 大人への階段,2话 /  2025年12月31日 / 畠山守(小俣真一) / 赤坂アカ（集英社ヤングジャンプコミックス刊） / 八尋裕子,8.3,6006人评分
2025,Rank134,末日后酒店,アポカリプスホテル,12话 /  2025年4月8日 / 春藤佳奈 / 横山なつき,8.2,13574人评分
2025,Rank172,琉璃的宝石,瑠璃の宝石,13话 /  2025年7月6日 / 藤井慎吾 / 渋谷圭一郎（HARTA COMIX／KADOKAWA 刊） / 藤井茉由,8.1,7566人评分
2025,Rank228,金牌得主,メダリスト,13话 /  2025年1月4日 / 山本靖貴 / つるまいかだ（講談社「アフタヌーン」連載） / 亀山千夏,8.0,11418人评分
2025,Rank481,彻夜之歌 第二季,よふかしのうた Season 2,12话 /  2025年7月4日 / 板村智幸 / コトヤマ（小学館「週刊少年サンデー」連載中） / 佐川遥,7.7,4733人评分
2025,Rank508,佐贺偶像是传奇 梦想银河乐园,ゾンビランドサガ ゆめぎんがパラダイス,1话 /  2025年10月24日 / 佐藤威・石田貴史 / 広報広聴課ゾンビ係 / 深川可純・山口仁七・崔ふみひで,7.9,167人评分
2025,Rank557,更衣人偶坠入爱河 第二季,その着せ替え人形は恋をする Season 2,12话 /  2025年7月5日 / 篠原啓輔 / 福田晋一（掲載「ヤングガンガン」スクウェア・エニックス刊） / 石田一将,7.7,7585人评分
2025,Rank558,时光流逝，饭菜依旧美味,日々は過ぎれど飯うまし,12话 /  2025年4月12日 / 春水融・川面真也 / team apa / 満田一,7.7,9810人评分
2025,Rank767,哆啦A梦：大雄的绘画奇遇记,映画ドラえもん のび太の絵世界物語,1话 /  2025年3月7日 / 寺本幸代 / 藤子・F・不二雄 / 山下晃,7.6,1018人评分
